iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CK,Cook Islands,7.72,7.72,11.51,15.42,19.49,19.17,20.89,22.89,25.22,26.62,25.7,29.2,30.15,33.42,31.83,32.02,42.93,32.4,32.46,65.71608,30.3
FJ,Fiji,16.86,7.19,7.06,7.32,7.55,16.26,8.47,8.87,9.1,8.55,17.43,8.38,8.81,8.9,9.07,19.11,12.44,9.54,20.27,21.34824,10.74
FM,Micronesia (Federated States of),21.78,10.18,11.23,10.27,9.22,15.85,7.04,7.1,7.49,7.61,15.97,8.47,8.29,7.85,6.3,13.54,8.87,6.37,13.75,13.86947,6.07
KI,Kiribati,10.5,4.5,4.34,3.77,3.56,10.01,3.51,3.13,2.9,2.09,7.04,1.8,1.83,1.8,1.8,3.77,2.75,2.4,3.72,9.42132,2.22
NC,New Caledonia,,,,,,,,,,9.52,9.73,9.82,,9.59,9.81,9.32,9.13,9.54,6.82,,
NR,Nauru,31.49,13.27,10.01,9.74,8.53,18.45,7.63,8.22,7.97,10.47,29.65,14.18,12,10.01,8.81,19.93,14.8,8.8,19.93,21.50521,8.37
NU,Niue,48.31,22.93,23.38,22.17,23.1,45.9,18.55,21.53,21.4,21.71,42.07,22.83,26.23,27.25,26.55,57.91,34.99,28.4,60.39,58.2165,27.77
PG,Papua New Guinea,11.78,6.42,6.16,5.66,5.61,10.33,5.7,5.6,5.68,4.87,9.12,3.68,4.02,4.61,4.93,9.27,6.34,5.21,9.18,11.34313,3.35
PW,Palau,,,,,,,,,,,7.9,,,,,,,,,,
SB,Solomon Islands,5.81,2.24,1.96,2.71,2.82,7.89,3.01,3.12,3.37,3.37,8.13,3.01,2.84,2.75,2.8,7.83,5.03,4.58,10.3,10.02057,4.33
TO,Tonga,9.49,4.39,4.59,4.58,5.01,11.94,5.15,4.69,4.33,3.91,7.78,2.5,1.33,0.68,0.91,3.16,2.61,1.18,3.56,2.4667,1.1
TV,Tuvalu,11.22,5.39,5.62,5.74,5.88,11.48,3.34,3.81,3.86,4.39,9.76,5.47,6.21,6.82,6.27,11.43,6.12,3.79,8.24,7.73146,3.74
VU,Vanuatu,7.28,3.8,3.83,4.01,3.77,7.08,3.51,3.6,3.63,4.24,10.11,5.95,6.02,5.62,5.22,11.52,6.52,5.26,12.39,11.95189,6.14
WS,Samoa,23.13,11.93,12.11,12.14,12.11,23.91,11.11,10.87,10.06,9.28,16.48,7.24,6.4,6.33,6.11,14.15,9.57,7.08,15,15.45796,7.02
