iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CK,Cook Islands,,,,,,,,,,,,,,,,,,75.2,,,,
FJ,Fiji,131.8,127.5,124.2,124.4,120.5,122.3,123.6,124.1,125.6,124.8,123.9,122.4,121.2,120.7,120.1,119.1,118.3,118,117.1,116.4,115.8,113.8
FM,Micronesia (Federated States of),124.7,124.1,123.3,123,123.2,123.5,122.6,121.5,120.9,120.6,120.4,120,119.6,118.9,117,119,117.6,117.3,117.7,117.4,122.3,121.8
KI,Kiribati,131.8,130.6,129.9,128.9,128.6,128.9,128,128.2,128.3,128.3,128.4,128.9,127.9,127.4,126.7,126.1,125.5,124.4,122.9,122.8,128.4,133
NR,Nauru,,,,,,,,,,,,,,,,,,89.7,,,,
NU,Niue,,,,,,,,,,,,,,,,,18.5,,,,,
PG,Papua New Guinea,91.2,93.2,91.6,91.6,91,91.3,91.6,92.3,90.5,87.7,88.5,88.8,90.8,90.5,92.5,92.7,92,90.2,90.5,92,90.7,85.5
SB,Solomon Islands,102,100.9,101.1,104.5,93.4,100.3,99.3,112.1,117.7,117.9,117,117.4,117.3,116.8,117,116.5,115.3,114.7,114.9,114.1,119,121.3
TO,Tonga,87,85.2,85.2,85.9,84.9,81.7,81.4,81.4,81.2,81.6,82.3,81.8,81.6,81.2,80.9,80.6,79.3,79.3,78.8,78.2,77.3,81
VU,Vanuatu,117.1,117.5,116.5,115.8,115.7,114.8,115.9,114.8,113.4,113.9,112.1,112.5,113.4,112.4,111.1,111.3,110.6,110.5,110.4,110.5,112.5,109.8
WS,Samoa,96.5,96.2,95.4,94.8,93.8,93.6,92.7,92.6,92.7,91.3,92.9,92.9,93.9,94.1,95.6,96.5,97.2,96.7,96.4,95.9,97.7,96.7
